"","words"
"車","car, terminal, bus, park, taxi, parking, floor, take, arrival, rental"
"ターミナル内移動","gate, walk, easy, signage, long, sign, terminal, area, train, distance"
"ターミナル宿泊","transit, hour, place, shower, lounge, area, hotel, spend, flight, room"
"ユニバーサルデザイン","airport, staff, assistance, child, get, service, people, family, person, wheelchair"
"チェックイン列","minute, departure, terminal, gate, passport, security, line, check, take, arrival"
"セキュリティ","security, check, go, time, luggage, bag, do, get, point, walk"
"荷物受け取り","immigration, baggage, minute, bag, luggage, take, custom, arrive, belt, arrival"
"セキュリティチェック列","time, line, security, check, long, hour, flight, take, minute, get"
"ラグジュアリー","lounge, business, class, airport, security, first, world, nice, star, economy"
"スタッフへの問い合わせ","staff, service, desk, do, check, customer, airline, airport, information, help"
"トランジット","flight, transit, time, hour, connection, transfer, gate, minute, make, way"
"飲み物","free, water, duty, gate, find, bottle, buy, expensive, security, drink"
"電子機器","wifi, free, terminal, use, available, phone, access, airport, internet, outlet"
"入国審査列","passport, control, line, use, long, minute, time, eu, border, security"
"陸上交通","train, airport, city, bus, station, good, express, shuttle, transport, public"
"ターミナル間移動","terminal, international, domestic, flight, transfer, bus, time, plenty, area, gate"
"入国審査列2","line, immigration, long, departure, arrival, counter, officer, arrive, check-in, taxi"
"トイレ","terminal, toilet, old, clean, use, improvement, year, facility, new, more"
"スタッフの役立ちさ","airport, staff, friendly, efficient, clean, easy, find, helpful, facility, experience"
"遅延","flight, hour, delay, arrive, time, minute, wait, morning, problem, gate"
"スタッフの態度","staff, security, pleasant, helpful, experience, rude, courteous, polite, people, professional"
"ショッピング","airport, place, food, shop, option, great, plenty, shopping, eat, good"
"言語&案内","airport, english, clean, staff, sign, good, many, people, go, speak"
"施設全体","food, free, airport, good, shopping, lounge, seating, clean, transit, wifi"
"荷物検査","immigration, arrival, baggage, quick, departure, area, security, check-in, check, efficient"
"支払い","food, card, cheap, beer, expensive, choice, price, pay, customer, local"
"デザイン","airport, great, clean, design, india, good, time, beautiful, experience, modern"
